id;name;type;description;capacity;plan_capacity;reserve;factory_id
1;Generic Steel Tuna;website calculating;cross-platform support;2020-02-26T02:56:12;2020-02-26T08:19:50;wireless Chilean Peso Unidades de fomento;1
2;reboot;Dynamic magenta Track;actuating THX;2020-02-27T00:37:32;2020-02-26T04:07:18;Rustic Steel Soap Kina;2
3;navigating Metical;Incredible Infrastructure;Internal compressing;2020-02-26T13:23:50;2020-02-26T11:18:07;Bedfordshire;3
4;Credit Card Account;Gloves Lao People's Democratic Republic;neutral;2020-02-27T01:34:38;2020-02-27T01:36:43;Business-focused;4
5;Computer Oklahoma Identity;throughput;Village;2020-02-26T07:16:31;2020-02-26T03:41:58;Vermont indigo;5
6;JSON;New Mexico Implementation Steel;Shirt intangible;2020-02-26T20:03:24;2020-02-26T15:11:55;Crossroad invoice;6
7;Liaison;Keyboard;Central Ergonomic Concrete Ball;2020-02-26T05:25:34;2020-02-26T09:22:55;Gorgeous Rubber Cheese quantifying;7
8;cross-platform;multi-byte online Forward;open-source;2020-02-26T06:46:27;2020-02-26T22:30:18;efficient;8
9;Buckinghamshire;Practical AGP Implementation;wireless navigate grey;2020-02-26T15:40:44;2020-02-26T19:02:03;Automotive Massachusetts Checking Account;9
10;system-worthy;Ergonomic;Ergonomic Metal Keyboard full-range Cambridgeshire;2020-02-26T07:44:10;2020-02-26T22:46:12;National;10
