id;name;phenomenon_time;result;result_time;description;interval_time;type;unit_of_measurement;reserve;assemblyline_id
1;strategic Plastic New York;2020-02-26T13:19:14;Massachusetts;2020-02-26T12:08:08;multi-state;43973;copy wireless;convergence calculating;Avon Buckinghamshire wireless;1
2;Generic;2020-02-26T05:07:26;Jewelery;2020-02-26T20:53:27;connecting Spain;69434;Face to face capacitor Persistent;Gorgeous;Cliff Cambridgeshire;2
3;platforms B2B instruction set;2020-02-26T19:01:02;Hawaii empower;2020-02-26T05:38:23;Auto Loan Account back-end;96717;Gourde US Dollar Table;Fantastic copying Rapids;Internal;3
4;Madagascar;2020-02-26T22:58:52;Integrated;2020-02-26T09:19:56;Avon Coves Chief;44519;e-commerce Supervisor Mississippi;Savings Account;Auto Loan Account Money Market Account;4
5;Administrator Frozen;2020-02-26T13:08:39;drive Fantastic transmit;2020-02-26T10:58:28;Buckinghamshire Health;11725;black payment;HDD;Intelligent;5
6;Small Soft Towels;2020-02-26T02:43:00;Fords Sleek;2020-02-26T08:20:59;Florida Games;55601;tertiary Pre-emptive;connect;infrastructures;6
7;Kenyan Shilling Kenyan Shilling auxiliary;2020-02-27T01:41:01;Intelligent Rubber Fish;2020-02-26T16:22:30;connecting;50612;knowledge user Handmade Wooden Mouse;virtual neural;Future;7
8;Health;2020-02-26T14:45:55;Tanzanian Shilling Kansas Soft;2020-02-26T10:17:10;Stream;35819;Wyoming North Dakota Fantastic Soft Keyboard;Human Borders;vortals;8
9;throughput;2020-02-26T08:49:12;Handcrafted Assistant;2020-02-27T01:15:06;auxiliary quantifying;15144;Ways;Reverse-engineered front-end Slovakia (Slovak Republic);De-engineered;9
10;Associate;2020-02-27T02:00:09;panel paradigms Generic;2020-02-26T07:12:45;Investor Solutions Pants;95789;Cayman Islands Dollar;system-worthy application;Facilitator deposit incremental;10
