id;name;phenomenon_time;result;result_time;description;level;status;resolve_time;details
1;Borders strategic Towels;2020-02-26T10:51:19;compressing Barbados Dollar Berkshire;2020-02-26T16:54:20;Group Mongolia;holistic Computers;hacking Michigan;2020-02-26T16:08:11;Senior virtual
2;Down-sized;2020-02-26T12:20:53;Senior;2020-02-26T06:43:24;Developer;Electronics Passage Czech Koruna;Corporate Handmade generating;2020-02-26T05:53:29;bi-directional
3;open-source;2020-02-26T03:09:59;Qatari Rial envisioneer Terrace;2020-02-26T04:37:55;innovate;Forward synthesizing Route;USB Avon;2020-02-26T07:17:31;Montana
4;Saint Kitts and Nevis Refined Concrete Chips copy;2020-02-26T23:59:32;transmitter redundant;2020-02-26T13:31:03;Associate;interfaces Toys;THX;2020-02-26T03:37:40;Borders
5;copy payment;2020-02-27T00:24:36;Games;2020-02-26T18:32:11;Central;Personal Loan Account contextually-based;olive grow Lake;2020-02-27T01:42:16;Re-contextualized
6;application Jersey;2020-02-26T11:08:33;RAM;2020-02-26T17:05:56;solid state;projection index;multi-byte Avon Buckinghamshire;2020-02-27T02:39:45;programming virtual Chicken
7;mission-critical withdrawal plum;2020-02-26T12:05:19;Hat Wooden one-to-one;2020-02-26T13:07:00;payment;Accounts;Ranch;2020-02-26T14:46:29;connecting Supervisor Rapid
8;aggregate;2020-02-27T00:43:33;Identity;2020-02-26T07:39:50;asymmetric e-business haptic;Designer Checking Account plum;scalable;2020-02-26T23:26:16;payment
9;Persevering;2020-02-26T09:13:37;Officer Rustic Tasty;2020-02-26T17:12:39;payment;Hat;Home Loan Account;2020-02-27T01:24:08;Lebanon
10;Directives;2020-02-26T18:00:27;Home;2020-02-26T02:43:36;payment;Sharable Unbranded Concrete Bike lime;Integration Organized;2020-02-26T23:00:01;Baby Industrial Savings Account
