id;phenomenon_time;result;result_time;property;unit_of_measurement;interval_time;reserve;assemblyline_id;link_id
1;2020-02-27T01:27:24;parallelism Automotive;2020-02-26T18:12:59;XML Oklahoma multi-byte;Auto Loan Account;17192;Small Frozen Shirt Uganda artificial intelligence;1;1
2;2020-02-26T16:52:15;Expressway Manors Shoes;2020-02-26T23:37:56;Manager XSS;Multi-channelled proactive;86335;Personal Loan Account;2;2
3;2020-02-26T10:14:12;Bedfordshire secondary;2020-02-26T03:09:28;Towels Indian Rupee connect;infrastructure revolutionary;79461;Hawaii;3;3
4;2020-02-26T09:41:16;Papua New Guinea Ergonomic interface;2020-02-26T22:28:33;Indian Rupee Ngultrum;Customer;63860;Morocco;4;4
5;2020-02-26T19:02:20;navigate alarm Representative;2020-02-26T22:16:46;Future Wyoming;Club;57540;Practical Soft Tuna;5;5
6;2020-02-27T00:40:50;Cross-platform transition;2020-02-26T12:55:10;firewall;Rustic Steel Table;66713;Vermont indigo Kids;6;6
7;2020-02-26T20:00:02;Home Loan Account backing up;2020-02-26T13:41:45;generating Awesome Plastic Keyboard;integrate;81356;next-generation global;7;7
8;2020-02-26T12:27:12;invoice Dynamic portals;2020-02-26T08:33:40;extend;supply-chains;50586;Manager Nevada;8;8
9;2020-02-26T12:47:56;Cross-platform back up;2020-02-26T02:50:42;Small;sky blue client-server;50871;Programmable Bypass North Korean Won;9;9
10;2020-02-26T10:49:35;Intranet Cliff;2020-02-26T23:06:51;Manor;Sleek Frozen Tuna;51619;orange;10;10
