id;name;type;description;capacity;plan_capacity;reserve;product_id
1;Money Market Account;Right-sized;Central Executive;2020-02-26T21:38:10;2020-02-26T03:38:41;Tuvalu JSON;1
2;Overpass Small;Arkansas Sports;olive Libyan Dinar Implementation;2020-02-26T04:32:29;2020-02-26T17:38:12;generating multi-byte;2
3;Corporate synergize;Expressway Nakfa;Operative Florida;2020-02-26T07:33:31;2020-02-27T01:48:36;GB overriding;3
4;hack Points;interface Outdoors;Ergonomic AGP auxiliary;2020-02-27T01:45:44;2020-02-26T13:46:57;Center sexy;4
5;deposit;copying black;Shirt Ergonomic Reactive;2020-02-26T16:29:06;2020-02-26T10:29:03;application withdrawal;5
6;Agent;silver;deploy turn-key Investor;2020-02-26T10:08:10;2020-02-26T06:04:00;AGP;6
7;transmit auxiliary;Garden incubate Rustic;protocol Buckinghamshire;2020-02-26T08:08:25;2020-02-26T08:08:50;rich methodology;7
8;forecast;Saint Helena e-business neural;Fresh;2020-02-27T02:20:31;2020-02-27T01:25:27;Avon Managed Sports;8
9;withdrawal synergies Interactions;indigo Borders Home;Cotton Gateway Buckinghamshire;2020-02-26T09:59:26;2020-02-26T12:14:36;SMS;9
10;empower silver;Rapid;deposit black Architect;2020-02-26T04:57:37;2020-02-26T13:10:36;Savings Account;10
